p
971
idx PDG vx vy vz vt px py pz
308 22 -261.398 156.825 1535 6.40164 -0.883928 0.422558 6.0521
309 22 -63.9504 -45.0797 1535 6.57425 -0.285462 -0.306261 4.42795
310 22 175.706 53.037 1535 290.58 1.17213 1.48858 9.07279
311 11 -89.0058 -148.102 1535 141.294 -0.479859 0.482144 4.35817
312 2112 265.179 -26.0202 1535 19.3545 68.2629 6.82964 281.053
313 22 -124.931 -175.227 1535 7.02115 -0.127127 -0.0896504 1.01956
314 2112 -89.2145 -146.29 1535 27.0034 -10.0034 -23.7719 191.56
315 2112 -32.9955 -197.002 1535 29.639 -10.6237 -26.8535 172.844
316 2112 -57.4166 47.5166 1535 17.5756 9.30065 -4.5116 323.312
317 22 -213.377 -176.662 1535 15.5318 -0.385868 0.0139318 1.4747
318 22 282.024 157.399 1535 6.70822 0.87682 0.840931 6.63436
319 2112 -40.8205 -99.4039 1535 17.5456 -9.48429 -33.2762 318.478
320 2112 147.755 154.952 1535 16.598 13.2675 61.9307 345.819
321 22 76.9713 83.1878 1535 6.76042 0.222589 0.305551 4.65287
322 2112 -188.882 -119.742 1535 28.9108 -20.5259 -13.0174 175.998
323 22 244.829 -227.683 1535 8.25003 0.302166 -0.144038 1.11516
324 22 282.723 21.5146 1535 11.9107 1.61728 0.532141 6.59136
325 2112 -248.914 291.749 1535 22.8886 -44.0986 44.8082 232.985
326 2112 -222.109 -297.727 1535 32.5793 -20.5156 -29.4845 154.486
327 2112 40.6879 259.161 1535 19.1918 16.5841 50.662 284.519
328 22 80.4115 286.399 1535 7.049 0.02647 0.0239777 0.322361
329 22 26.6873 -33.5578 1535 29.5313 -1.98934 -3.17013 5.53195
330 22 159.307 39.6157 1535 7.04978 0.428938 0.0320147 4.06564
331 22 200.804 120.227 1535 8.95836 0.0269036 0.122878 0.458323
332 22 286.339 -174.815 1535 7.01881 0.186347 -0.101084 1.03486
333 2112 -180.181 298.188 1535 24.5052 -25.7558 35.6174 213.275
334 2112 259.02 -244.655 1535 22.8467 32.138 -33.3423 236.544
335 22 61.4619 22.7922 1535 7.14129 0.0176233 -0.000153895 0.105228
336 22 -235.501 -161.922 1535 6.6975 -1.0035 -0.423 4.89164
337 22 -172.858 113.565 1535 7.15558 -0.0670445 0.055525 1.47235
338 22 -47.763 40.7365 1535 7.57518 -0.0544849 0.0537675 0.256402
339 22 181.075 240.41 1535 6.99248 0.265345 0.381227 2.10695
340 2112 -111.315 106.396 1535 16.9832 -36.1194 21.2592 330.998
341 22 14.5396 -93.4863 1535 7.19629 -0.000854467 -0.00365893 0.0977288
342 2112 -209.497 0.0876355 1535 20.9813 -21.1491 -11.9014 262.463
343 22 91.2273 262.21 1535 7.01616 0.400294 1.06237 5.51342
344 2112 -295.13 -212.886 1535 21.1832 -68.3869 -21.0659 257.592
345 22 -283.826 142.706 1535 7.01087 -0.122251 0.0838705 0.620476
346 22 252.246 -256.255 1535 9.9613 0.00730799 -0.00522986 0.0276366
347 2112 -162.001 -248.095 1535 37.2866 -16.2656 -25.0632 130.166
348 22 262.568 182.606 1535 7.39577 0.312326 0.386902 1.33962
349 22 -112.984 119.282 1535 8.78549 -0.00519924 0.00259369 0.0371354
350 2112 188.612 165.232 1535 25.3755 25.6221 29.2451 204.864
351 22 157.519 -130.878 1535 7.0246 0.737802 -0.632086 6.60709
352 2112 90.356 19.6513 1535 21.2405 0.420538 -13.4498 254.69
353 22 -244.915 -47.3954 1535 8.03108 -0.0112482 -0.00734332 0.0904085
354 22 -68.2083 -34.1049 1535 1371.45 -0.416091 0.128785 2.1383
355 22 -24.07 -151.104 1535 7.51741 0.00956825 -0.00657678 0.0835476
356 22 -188.204 68.5142 1535 7.1182 -0.303815 0.0895884 2.9887
357 2112 -290.854 -77.8399 1535 19.1719 -57.4232 -20.5976 284.787
358 2112 55.1437 268.186 1535 31.1416 -4.08625 29.8922 162.957
359 2212 -4.11772 -6.22288 1535 13.5481 -1.16223 -4.32126 441.807
360 22 -227.841 -253.585 1535 115.092 -0.87905 -0.671001 3.76427
361 2112 -59.7285 92.5183 1535 15.837 3.37899 16.5524 363.229
362 2112 -2.24402 299.058 1535 20.7557 -4.64759 53.8554 259.624
363 11 -148.175 -15.2173 1535 7.0712 -0.718715 0.542878 2.04823
